episode,train_reward,train_duration,eval_reward,eval_duration
362,9310.76953125,60,,
363,9305.583984375,61,,
364,9304.5078125,66,,
365,9307.01953125,66,,
366,9302.62890625,64,,
367,9314.0869140625,57,,
368,9309.828125,66,,
369,9304.9443359375,72,,
370,9311.044921875,70,,
371,9304.53125,70,,
372,9314.7255859375,79,,
373,9320.88671875,79,,
374,9320.3369140625,76,,
375,9320.34765625,89,,
376,9320.59375,77,,
377,9320.4833984375,87,,
378,9322.4521484375,81,,
379,9323.685546875,100,,
380,9319.787109375,103,,
381,9323.7333984375,83,,
382,9322.73828125,102,,
383,9329.65625,123,,
384,9328.3134765625,112,,
385,9320.76953125,95,,
386,9334.107421875,134,,
387,9334.623046875,144,,
388,9341.0595703125,212,,
389,9358.7705078125,999,,
390,9358.8095703125,999,,
391,9348.0849609375,218,,
392,9354.375,999,,
393,9354.509765625,999,,
394,9354.435546875,999,,
395,9354.83203125,999,,
396,9356.955078125,999,,
397,9356.2109375,999,,
398,9355.0546875,999,,
399,9357.224609375,999,,
400,9357.74609375,999,,
401,9358.345703125,998,,
402,9358.8603515625,999,,
403,9358.865234375,999,,
404,9359.212890625,999,,
405,9359.0751953125,999,,
406,9359.306640625,999,,
407,9359.509765625,999,,
408,9358.001953125,999,,
409,9358.3798828125,999,,
410,9359.2958984375,999,,
411,9358.2919921875,999,,
412,9359.09375,999,,
413,9359.10546875,999,,
414,9359.0576171875,999,,
415,9359.451171875,999,,
416,9357.98046875,999,,
417,9358.509765625,999,,
418,9359.375,999,,
419,9359.546875,999,,
420,9358.75,999,,
421,9358.078125,999,,
422,9359.486328125,999,,
423,9358.80078125,999,,
424,9358.236328125,999,,
425,9359.5361328125,999,,
426,9358.826171875,999,,
427,9359.41796875,999,,
428,9359.275390625,999,,
429,9359.1962890625,999,,
430,9359.1943359375,999,,
431,9357.408203125,999,,
432,9358.8955078125,999,,
433,9359.42578125,999,,
434,9358.353515625,999,,
435,9358.55078125,999,,
436,9359.2890625,999,,
437,9359.22265625,999,,
438,9359.419921875,999,,
439,9359.0234375,999,,
440,9359.130859375,999,,
441,9359.49609375,999,,
442,9359.146484375,999,,
443,9358.36328125,999,,
444,9358.83203125,999,,
445,9359.3671875,999,,
446,9359.0986328125,999,,
447,9359.427734375,999,,
448,9359.6259765625,999,,
449,9359.525390625,999,,
450,9359.375,999,,
451,9358.435546875,999,,
452,9358.9521484375,999,,
453,9358.359375,999,,
454,9357.5322265625,999,,
455,9359.412109375,999,,
456,9359.7470703125,999,,
457,9359.64453125,999,,
458,9357.162109375,999,,
459,9359.5712890625,999,,
460,9351.0078125,999,,
461,9359.802734375,998,,
462,9359.234375,999,,
463,9358.552734375,999,,
464,9359.755859375,999,,
465,9359.0322265625,999,,
466,9359.2158203125,999,,
467,9359.447265625,999,,
468,9359.73046875,999,,
469,9359.423828125,999,,
470,9359.1982421875,999,,
471,9358.544921875,999,,
472,9358.986328125,999,,
473,9359.177734375,999,,
474,9359.658203125,999,,
475,9359.7265625,999,,
476,9359.7099609375,999,,
477,9359.626953125,999,,
478,9359.69140625,999,,
479,9359.7109375,999,,
480,9359.26953125,999,,
481,9359.4013671875,999,,
482,9349.0419921875,999,,
483,9359.10546875,999,,
484,9359.591796875,999,,
485,9359.48046875,999,,
486,9356.1484375,999,,
487,9359.27734375,999,,
488,9359.44921875,999,,
489,9359.333984375,999,,
490,9359.365234375,999,,
491,9358.53515625,998,,
492,9359.361328125,999,,
493,9359.0888671875,999,,
494,9359.1220703125,999,,
495,9359.453125,999,,
496,9358.67578125,999,,
497,9356.2138671875,999,,
498,9359.193359375,999,,
499,9359.4921875,999,,
